execution_time,timestamp,cpu_utilization,memory_usage,pixel,fps,success,distance,consumption,GPU
5,2024-05-02 15:51:03.121378,6.5,18.6,120,12,False,61.0,75,False
7,2024-05-02 15:51:03.210073,11.6,18.6,120,12,False,0,79,False
6,2024-05-02 15:51:03.304009,3.1,18.6,120,12,False,0,72,False
5,2024-05-02 15:51:03.398973,4.1,18.6,120,12,False,0,73,False
5,2024-05-02 15:51:03.493932,4.2,18.6,120,12,False,0,73,False
5,2024-05-02 15:51:03.588223,5.3,18.6,120,12,False,0,74,False
4,2024-05-02 15:51:03.682176,9.3,18.6,120,12,False,0,77,False
3,2024-05-02 15:51:03.774709,7.3,18.6,120,12,False,0,75,False
5,2024-05-02 15:51:03.867828,6.2,18.6,120,12,False,0,74,False
4,2024-05-02 15:51:03.962341,7.3,18.6,120,12,False,0,75,False
4,2024-05-02 15:51:04.055838,7.2,18.6,120,12,False,0,75,False
5,2024-05-02 15:51:04.150378,7.3,18.6,120,12,False,0,75,False
5,2024-05-02 15:51:04.244990,6.3,18.6,120,12,False,0,74,False
5,2024-05-02 15:51:04.339581,7.2,18.6,120,12,False,0,75,False
4,2024-05-02 15:51:04.432791,7.2,18.6,120,12,False,0,75,False
3,2024-05-02 15:51:04.528213,9.8,18.6,120,12,False,0,77,False
3,2024-05-02 15:51:04.622396,6.2,18.6,120,12,False,0,74,False
4,2024-05-02 15:51:04.717510,5.2,18.6,120,12,False,0,74,False
5,2024-05-02 15:51:04.813670,6.2,18.6,120,12,True,349.0,74,False
4,2024-05-02 15:51:04.907481,7.3,18.6,120,12,False,349.0,75,False
4,2024-05-02 15:51:05.002174,5.2,18.6,120,12,False,349.0,74,False
5,2024-05-02 15:51:05.097465,5.2,18.6,120,12,False,349.0,74,False
3,2024-05-02 15:51:05.190659,6.2,18.6,120,12,False,349.0,74,False
4,2024-05-02 15:51:05.285963,6.2,18.6,120,12,False,349.0,74,False
4,2024-05-02 15:51:05.381236,6.2,18.6,120,12,False,349.0,74,False
4,2024-05-02 15:51:05.473166,5.2,18.6,120,12,False,349.0,74,False
4,2024-05-02 15:51:05.566095,6.2,18.6,120,12,False,349.0,74,False
4,2024-05-02 15:51:05.660540,6.2,18.6,120,12,False,349.0,74,False
3,2024-05-02 15:51:05.755019,5.2,18.6,120,12,False,349.0,74,False
5,2024-05-02 15:51:05.849180,6.2,18.6,120,12,False,349.0,74,False
5,2024-05-02 15:51:05.943542,4.2,18.6,120,12,False,349.0,73,False
5,2024-05-02 15:51:06.039306,6.1,18.6,120,12,False,349.0,74,False
5,2024-05-02 15:51:06.135040,7.8,18.6,120,12,True,225.0,76,False
5,2024-05-02 15:51:06.229323,6.3,18.6,120,12,True,10.0,74,False
4,2024-05-02 15:51:06.323462,6.2,18.6,120,12,True,43.0,74,False
5,2024-05-02 15:51:06.419718,12.5,18.6,120,12,False,43.0,80,False
5,2024-05-02 15:51:06.513357,5.2,18.6,120,12,False,43.0,74,False
5,2024-05-02 15:51:06.606719,6.3,18.6,120,12,False,43.0,74,False
4,2024-05-02 15:51:06.700274,6.2,18.6,120,12,False,43.0,74,False
3,2024-05-02 15:51:06.795568,6.2,18.6,120,12,False,43.0,74,False
4,2024-05-02 15:51:06.889352,6.2,18.6,120,12,False,43.0,74,False
4,2024-05-02 15:51:06.984375,7.3,18.6,120,12,False,43.0,75,False
5,2024-05-02 15:51:07.080046,7.3,18.6,120,12,True,437.0,75,False
5,2024-05-02 15:51:07.175308,7.3,18.6,120,12,False,437.0,75,False
5,2024-05-02 15:51:07.269851,5.2,18.6,120,12,False,437.0,74,False
4,2024-05-02 15:51:07.363726,6.2,18.6,120,12,False,437.0,74,False
4,2024-05-02 15:51:07.459471,6.2,18.6,120,12,False,437.0,74,False
4,2024-05-02 15:51:07.554521,6.7,18.6,120,12,False,437.0,75,False
4,2024-05-02 15:51:07.648852,7.3,18.6,120,12,False,437.0,75,False
5,2024-05-02 15:51:07.743623,6.3,18.6,120,12,True,117.0,74,False
5,2024-05-02 15:51:07.837525,6.2,18.6,120,12,True,27.0,74,False
5,2024-05-02 15:51:07.931210,6.2,18.6,120,12,False,27.0,74,False
5,2024-05-02 15:51:08.025655,6.2,18.6,120,12,False,27.0,74,False
5,2024-05-02 15:51:08.119411,6.2,18.6,120,12,False,27.0,74,False
4,2024-05-02 15:51:08.213409,11.8,18.6,120,12,False,27.0,79,False
4,2024-05-02 15:51:08.309620,5.1,18.6,120,12,False,27.0,73,False
5,2024-05-02 15:51:08.406202,6.2,18.6,120,12,False,27.0,74,False
4,2024-05-02 15:51:08.499548,7.3,18.6,120,12,False,27.0,75,False
5,2024-05-02 15:51:08.595400,6.2,18.6,120,12,False,27.0,74,False
5,2024-05-02 15:51:08.690017,7.3,18.6,120,12,True,206.0,75,False
4,2024-05-02 15:51:08.784850,6.2,18.6,120,12,False,206.0,74,False
4,2024-05-02 15:51:08.879869,8.3,18.6,120,12,False,206.0,76,False
5,2024-05-02 15:51:08.975206,4.2,18.6,120,12,False,206.0,73,False
5,2024-05-02 15:51:09.070729,6.1,18.6,120,12,False,206.0,74,False
4,2024-05-02 15:51:09.163574,5.2,18.6,120,12,False,206.0,74,False
6,2024-05-02 15:51:09.257449,5.0,18.6,120,12,False,206.0,73,False
4,2024-05-02 15:51:09.349977,4.5,18.6,120,12,False,206.0,73,False
4,2024-05-02 15:51:09.445822,7.6,18.6,120,12,False,206.0,76,False
3,2024-05-02 15:51:09.540233,6.3,18.6,120,12,False,206.0,74,False
3,2024-05-02 15:51:09.634619,8.2,18.6,120,12,False,206.0,76,False
4,2024-05-02 15:51:09.729090,6.3,18.6,120,12,False,206.0,74,False
4,2024-05-02 15:51:09.822862,7.1,18.6,120,12,False,206.0,75,False
5,2024-05-02 15:51:09.920442,6.9,18.6,120,12,False,206.0,75,False
5,2024-05-02 15:51:10.015424,4.2,18.6,120,12,False,206.0,73,False
6,2024-05-02 15:51:10.109898,5.2,18.6,120,12,False,206.0,74,False
6,2024-05-02 15:51:10.203787,6.2,18.6,120,12,False,206.0,74,False
5,2024-05-02 15:51:10.297436,5.2,18.6,120,12,False,206.0,74,False
6,2024-05-02 15:51:10.394213,3.1,18.6,120,12,False,206.0,72,False
4,2024-05-02 15:51:10.487697,3.1,18.6,120,12,False,206.0,72,False
5,2024-05-02 15:51:10.584243,4.2,18.6,120,12,False,206.0,73,False
5,2024-05-02 15:51:10.678169,4.0,18.6,120,12,False,206.0,72,False
5,2024-05-02 15:51:10.772984,5.1,18.6,120,12,False,206.0,73,False
5,2024-05-02 15:51:10.866720,2.2,18.6,120,12,False,206.0,71,False
5,2024-05-02 15:51:10.960380,4.2,18.6,120,12,False,206.0,73,False
5,2024-05-02 15:51:11.056598,3.0,18.6,120,12,False,206.0,72,False
5,2024-05-02 15:51:11.150612,6.2,18.6,120,12,False,206.0,74,False
4,2024-05-02 15:51:11.244258,6.2,18.6,120,12,False,206.0,74,False
4,2024-05-02 15:51:11.339061,6.2,18.6,120,12,False,206.0,74,False
6,2024-05-02 15:51:11.435871,11.7,18.6,120,12,False,206.0,79,False
3,2024-05-02 15:51:11.527851,6.2,18.6,120,12,False,206.0,74,False
4,2024-05-02 15:51:11.622559,7.2,18.6,120,12,False,206.0,75,False
5,2024-05-02 15:51:11.718481,7.3,18.6,120,12,False,206.0,75,False
4,2024-05-02 15:51:11.811540,6.2,18.6,120,12,False,206.0,74,False
4,2024-05-02 15:51:11.905483,6.2,18.6,120,12,True,580.0,74,False
4,2024-05-02 15:51:12.000009,8.2,18.6,120,12,False,580.0,76,False
5,2024-05-02 15:51:12.095098,6.2,18.6,120,12,False,580.0,74,False
5,2024-05-02 15:51:12.190360,6.2,18.6,120,12,False,580.0,74,False
5,2024-05-02 15:51:12.284604,7.3,18.6,120,12,False,580.0,75,False
5,2024-05-02 15:51:12.378507,7.3,18.6,120,12,False,580.0,75,False
3,2024-05-02 15:51:12.470674,7.3,18.6,120,12,False,580.0,75,False
4,2024-05-02 15:51:12.564870,6.2,18.6,120,12,False,580.0,74,False
4,2024-05-02 15:51:12.659999,6.2,18.6,120,12,False,580.0,74,False
4,2024-05-02 15:51:12.754397,6.2,18.6,120,12,False,580.0,74,False
5,2024-05-02 15:51:12.850730,6.2,18.6,120,12,False,580.0,74,False
5,2024-05-02 15:51:12.946924,5.8,18.6,120,12,False,580.0,74,False
4,2024-05-02 15:51:13.038728,8.2,18.6,120,12,False,580.0,76,False
4,2024-05-02 15:51:13.132732,7.4,18.6,120,12,False,580.0,75,False
4,2024-05-02 15:51:13.226473,6.7,18.6,120,12,False,580.0,75,False
4,2024-05-02 15:51:13.320805,6.8,18.6,120,12,False,580.0,75,False
5,2024-05-02 15:51:13.416550,6.3,18.6,120,12,False,580.0,74,False
3,2024-05-02 15:51:13.509048,7.2,18.6,120,12,False,580.0,75,False
4,2024-05-02 15:51:13.606076,5.9,18.6,120,12,False,580.0,74,False
4,2024-05-02 15:51:13.699599,6.2,18.6,120,12,False,580.0,74,False
4,2024-05-02 15:51:13.794541,7.2,18.6,120,12,False,580.0,75,False
4,2024-05-02 15:51:13.888703,6.2,18.6,120,12,False,580.0,74,False
3,2024-05-02 15:51:13.983134,6.2,18.6,120,12,False,580.0,74,False
3,2024-05-02 15:51:14.076883,7.3,18.6,120,12,False,580.0,75,False
4,2024-05-02 15:51:14.169819,6.2,18.6,120,12,False,580.0,74,False
3,2024-05-02 15:51:14.264098,6.2,18.6,120,12,False,580.0,74,False
5,2024-05-02 15:51:14.360832,5.2,18.6,120,12,False,580.0,74,False
3,2024-05-02 15:51:14.454713,6.2,18.6,120,12,False,580.0,74,False
4,2024-05-02 15:51:14.549294,7.3,18.6,120,12,False,580.0,75,False
6,2024-05-02 15:51:14.566345,40.0,18.6,120,12,False,580.0,103,False
4,2024-05-02 15:51:14.660393,8.2,18.6,120,12,False,580.0,76,False
5,2024-05-02 15:51:14.756294,7.3,18.6,120,12,False,580.0,75,False
3,2024-05-02 15:51:14.850910,8.1,18.6,120,12,False,580.0,76,False
5,2024-05-02 15:51:14.946587,5.9,18.6,120,12,False,580.0,74,False
4,2024-05-02 15:51:15.041753,4.2,18.6,120,12,False,580.0,73,False
